source_file,original_column,original_value,LakeID
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,nimpkish,nimpkish
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,ormand,ormand
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,pachena,pachena
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,roberts,roberts
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,roselle,roselle
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,rosseau,rosseau
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,stella,stella
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,sug saw,sugsaw
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,theimer,theimer
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,tsiko,tsiko
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,uppercampbell,uppercampbell
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,vernon,vernon
01_WorkingData/Zooplankton ID Data/ZoopIDDataUpdated.csv,LakeName,woss,woss
